WELLNAME=Testwell
STDEP  =  190.0000  
ENDEP  =  248.5000  
LEVEL  =  0.1250  
CURNAMES  CAL  DT  GR  LLD  LLS  MSFL  NPHI  RHOB  SP

#DEPTH    CAL      DT        GR        LLD      LLS      MSFL    NPHI    RHOB    SP    
215.6250  16.1310  78.6670  75.9750  12.7080  7.0350  9.5750  0.1610  2.5330  -16.1580  
215.7500  16.0620  81.7150  75.0800  12.3060  6.5220  5.9310  0.1650  2.5040  -15.8890  
215.8750  15.9760  86.6370  72.9210  13.6660  6.0080  3.5570  0.1810  2.4600  -15.2120  
216.0000  15.8540  91.1490  72.2040  10.7040  5.5530  3.1380  0.1980  2.4200  -14.6990  
216.1250  15.8450  95.1590  73.2400  11.6990  5.4630  2.7980  0.2120  2.4060  -14.3370  
216.2500  15.8290  95.3480  73.1500  11.8980  5.5820  3.0870  0.2050  2.4100  -13.5890  
216.3750  15.8030  95.0130  71.9980  10.7970  5.7890  3.9850  0.1950  2.4210  -13.1880  
216.5000  15.7530  95.0070  70.8130  10.3170  5.9670  4.1550  0.1890  2.4310  -13.1050  
216.6250  15.6710  94.1750  70.9260  12.9370  6.0080  4.0100  0.1890  2.4390  -12.8230  
216.7500  15.6650  90.9450  72.0540  14.9460  5.7380  3.6100  0.1990  2.4420  -12.3110  
216.8750  15.6360  91.9180  76.9320  10.3440  5.2740  3.1470  0.1990  2.4330  -11.8830  
217.0000  15.6290  94.8480  78.3090  9.4300  4.8460  2.8590  0.2030  2.4150  -11.2670  
217.1250  15.6210  98.3740  77.5970  9.4750  4.4860  2.2520  0.2120  2.3890  -10.9130  
217.2500  15.6040  101.6200  75.5650  8.0630  4.1920  2.0020  0.2240  2.3610  -10.8660  
217.3750  15.6170  104.3780  69.1810  7.5970  3.9730  1.7520  0.2340  2.3420  -10.3060  
217.5000  15.6560  104.9930  67.7970  8.5300  3.9700  1.8910  0.2380  2.3320  -10.5110  
217.6250  15.6790  100.0510  67.7420  7.8380  4.1140  1.9420  0.2360  2.3380  -10.4340  
217.7500  15.6950  94.3470  72.0560  8.8620  4.3280  2.7100  0.2340  2.3610  -10.5670  
